127.0.0.1 - - [14/Apr/2022:10:43:58 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:45:32 -0500] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:45:33 -0500] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:47:54 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:47:57 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:47:57 -0500] "GET /Jenkins/static/53b02bf5/scripts/loading.js HTTP/1.1" 200 1071
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:47:57 -0500] "GET /Jenkins/static/53b02bf5/css/simple-page.theme.css HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:47:57 -0500] "GET /Jenkins/static/53b02bf5/css/loading.css HTTP/1.1" 200 1174
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:47:57 -0500] "GET /Jenkins/static/53b02bf5/css/simple-page.css HTTP/1.1" 200 1469
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:47:57 -0500] "GET /Jenkins/static/53b02bf5/css/simple-page-variables.css HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:47:57 -0500] "GET /Jenkins/static/53b02bf5/images/jenkins.svg HTTP/1.1" 200 16255
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:02 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:02 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:02 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:07 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:07 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:07 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:13 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:13 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:13 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:18 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:18 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:18 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:23 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:23 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:23 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:28 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:28 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:28 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:33 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:33 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:33 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:39 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:39 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:39 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:44 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:44 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:44 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:49 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:49 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:49 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:54 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:54 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:54 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:59 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:59 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:48:59 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:04 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:04 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:04 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:10 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:10 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:10 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:15 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:15 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:15 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:20 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:20 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:20 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:25 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:25 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:25 -0500] "GET /Jenkins/login?from=%2FJenkins%2F HTTP/1.1" 503 464
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:30 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
0:0:0:0:0:0:0:1 - - [14/Apr/2022:10:49:30 -0500] "GET /Jenkins/ HTTP/1.1" 403 584
